Filename,seq,seq_id,Label,part,word,sentence,before,after,dur_mod,seg_Start,seg_End,pF0_mean,pF0_means001,pF0_means002,pF0_means003,pF0_means004,pF0_means005,pF1_mean,pF1_means001,pF1_means002,pF1_means003,pF1_means004,pF1_means005,pF2_mean,pF2_means001,pF2_means002,pF2_means003,pF2_means004,pF2_means005,pF3_mean,pF3_means001,pF3_means002,pF3_means003,pF3_means004,pF3_means005,dur,issue
karuk-2010-05-01-arg-edited-2_56.mat,uxu,12,HH,C,uxutih,pay vura uum uxutih iyunyuunhitih,UH0,UH0,80.50699999999995,800.0,880.507,204.3,203.575,203.74900000000002,203.71400000000003,205.855,205.42700000000002,674.8510000000001,462.525,590.719,804.6189999999999,851.5319999999999,678.446,1520.36,1256.68,1136.85,1851.8670000000002,1561.8020000000001,1781.67,2820.89,2570.291,2607.563,3363.488,2932.4629999999997,2658.202,80.50699999999995,none
karuk-2010-05-01-arg-edited-2_56.mat,uxu,12,UH0,V2,uxutih,pay vura uum uxutih iyunyuunhitih,HH,T,62.120000000000005,880.507,942.627,235.91400000000002,244.063,238.99,236.139,234.34799999999998,228.679,354.324,398.616,365.849,370.44300000000004,348.741,293.556,1384.793,1314.154,1335.9470000000001,1381.866,1330.0870000000002,1540.385,2620.201,2537.394,2570.176,2544.072,2635.217,2797.176,62.120000000000005,none
karuk-2010-09-13-ag-vs-2_08.mat,iiki,13,IY1,V1,tukeevniikichha,pananitaat karu tukeevniikichha,N,K,203.19599999999946,3356.0440000000003,3559.24,173.245,182.188,183.91099999999997,182.52,172.213,145.364,426.015,496.35400000000004,451.582,430.455,431.32099999999997,319.348,2330.11,2194.09,2296.25,2365.089,2380.736,2416.054,3256.845,3163.738,3103.5190000000002,3170.3959999999997,3366.994,3475.929,203.19599999999946,none
karuk-2010-09-13-ag-vs-2_08.mat,iiki,13,K,C,tukeevniikichha,pananitaat karu tukeevniikichha,IY1,IH0,158.20500000000038,3559.24,3717.445,143.928,139.553,148.17600000000002,148.17600000000002,148.17600000000002,187.933,594.081,303.116,357.05199999999996,855.995,827.19,641.018,1831.2160000000001,2132.814,1549.515,1851.592,1544.174,2088.1620000000003,2791.1420000000003,2891.864,2517.308,2782.752,2801.4590000000003,2963.2529999999997,158.20500000000038,none
karuk-2010-09-13-ag-vs-2_08.mat,iiki,13,IH0,V2,tukeevniikichha,pananitaat karu tukeevniikichha,K,CH,36.44499999999971,3717.445,3753.89,187.112,200.093,196.979,185.695,179.86,172.72400000000002,290.786,249.34900000000002,261.54400000000004,347.765,350.50199999999995,253.138,2029.233,1716.351,1875.036,2200.544,2129.962,2369.038,3561.1059999999998,2867.7929999999997,3593.888,3922.196,3851.946,3800.8720000000003,36.44499999999971,none
karuk-2010-10-25-sd-vs-1_18.mat,upu,14,UH0,V1,pamupusihich,sally uum taay pamupusihich,M,P,69.21899999999982,1233.17,1302.389,183.637,180.699,184.62900000000002,186.533,184.15400000000002,182.328,514.585,341.569,309.61,236.109,694.173,1018.45,1668.471,1449.8029999999999,1462.965,1364.2520000000002,1956.148,2118.64,2683.375,2550.929,2442.871,2474.239,2974.65,3059.184,69.21899999999982,none
karuk-2010-10-25-sd-vs-1_18.mat,upu,14,P,C,pamupusihich,sally uum taay pamupusihich,UH0,UH0,184.37300000000027,1302.389,1486.7620000000002,185.247,184.882,188.21099999999998,188.21099999999998,188.21099999999998,188.21099999999998,673.007,428.85,619.731,747.91,782.5939999999999,786.7669999999999,1642.703,1571.761,1692.635,1688.4660000000001,1661.3829999999998,1610.504,2666.89,2617.166,2709.657,2610.285,2626.461,2775.1420000000003,184.37300000000027,none
karuk-2010-10-25-sd-vs-1_18.mat,upu,14,UH0,V2,pamupusihich,sally uum taay pamupusihich,P,SH,33.149999999999864,1486.7620000000002,1519.912,205.64700000000002,205.64700000000002,212.872,209.368,201.863,198.792,360.829,353.976,378.54900000000004,366.95,338.346,361.86699999999996,1288.565,1506.4279999999999,1214.512,1173.16,1336.296,1234.763,2373.59,2564.156,2377.83,2263.6279999999997,2306.701,2359.143,33.149999999999864,none
karuk-2011-01-29-vs-1_22.mat,uupu,15,UW1,V1,utapkuuputih,vaa pananipusihich utapkuuputih,K,P,178.5250000000001,2641.012,2819.5370000000003,166.889,211.99099999999999,173.00799999999998,161.886,147.452,139.726,343.155,346.699,364.17900000000003,342.537,337.292,326.376,889.5010000000001,924.54,976.993,942.385,850.687,756.3810000000001,2407.639,2549.4429999999998,2273.33,2342.24,2369.785,2491.344,178.5250000000001,none
karuk-2011-01-29-vs-1_22.mat,uupu,15,P,C,utapkuuputih,vaa pananipusihich utapkuuputih,UW1,UH0,148.52700000000004,2819.5370000000003,2968.0640000000003,145.739,137.299,137.299,137.299,137.299,213.25799999999998,534.295,594.134,477.575,417.589,450.3,724.808,1869.854,2084.735,1991.7779999999998,1790.39,1534.891,1930.241,3123.664,3435.8459999999995,3162.815,2902.462,2870.7659999999996,3235.094,148.52700000000004,none
