Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF0_means006	pF0_means007	pF0_means008	pF0_means009	pF0_means010	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF1_means006	pF1_means007	pF1_means008	pF1_means009	pF1_means010	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF2_means006	pF2_means007	pF2_means008	pF2_means009	pF2_means010	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	pF3_means006	pF3_means007	pF3_means008	pF3_means009	pF3_means010	
frog-16b.mat	"uxu"	1420.400	1710.506	159.900	217.430	196.722	80.250	81.846	102.858	165.310	168.644	178.729	195.312	191.402	480.775	327.003	390.726	398.432	356.874	250.565	1031.112	723.416	303.409	364.905	660.184	1390.058	1129.960	982.379	897.406	853.023	1009.593	2354.227	1913.624	1424.407	1448.023	1866.483	2875.703	2732.906	2404.417	2373.787	2453.174	2612.453	4010.082	3494.304	2731.059	2728.640	3193.444	
frog-16b.mat	"UH0"	1420.400	1559.698	132.304	229.650	207.572	197.357	192.831	192.831	80.177	81.058	81.622	85.826	91.619	348.434	284.232	366.545	385.838	392.789	405.345	396.262	374.153	356.617	276.145	248.998	966.654	1219.053	1039.224	1020.304	953.044	932.096	874.041	873.774	851.199	848.197	1030.933	2520.249	2842.727	2636.402	2444.498	2378.710	2342.969	2371.324	2471.126	2437.632	2551.702	2707.233	
frog-16b.mat	"HH"	1559.698	1647.269	169.826	168.728	165.510	163.895	165.734	167.455	168.460	169.511	171.203	176.333	181.787	643.315	310.300	1139.220	1083.978	1177.092	1160.156	850.025	251.195	141.847	165.845	194.368	1844.502	1325.820	2260.367	2605.722	2606.610	2446.766	2166.973	1233.607	1271.987	1252.709	1287.223	3343.012	2601.466	4138.946	4277.939	4281.978	4299.454	3806.051	2566.707	2489.128	2461.165	2559.655	
frog-16b.mat	"UH0"	1647.269	1710.506	192.820	188.813	192.137	195.244	197.060	197.347	198.134	196.028	192.782	189.173	183.582	539.567	948.174	486.492	239.302	241.658	246.615	240.438	237.078	351.364	1211.704	1167.149	1689.993	2097.304	1630.226	1403.867	1233.958	1278.411	1344.096	1287.155	1474.801	2609.548	2511.915	3017.452	3790.569	2862.178	2548.850	2549.017	2533.727	2519.717	2549.072	2817.118	3953.458	3957.180	
karuk-2010-05-01-arg-edited-2_15.mat	"uxuu"	653.223	1068.433	181.684	183.611	191.715	191.053	190.108	192.477	190.271	189.665	189.665	163.571	144.775	539.546	432.282	482.143	453.748	599.079	615.063	739.892	702.583	632.965	364.493	384.084	1195.169	893.062	780.075	1146.490	1271.396	1129.157	2122.857	1192.970	1348.738	1035.458	1108.775	2794.235	2650.049	2491.073	2702.729	2932.828	2797.525	3545.337	2941.564	2773.565	2554.963	2606.958	
karuk-2010-05-01-arg-edited-2_15.mat	"UH0"	653.223	763.867	188.745	180.678	183.343	184.308	186.979	190.010	191.488	193.442	194.046	193.076	190.416	439.660	437.195	407.113	444.165	438.865	548.676	531.466	422.839	398.711	434.405	331.876	843.286	949.454	984.413	818.911	806.400	768.250	775.713	785.250	778.120	803.716	954.549	2545.455	2661.946	2590.784	2697.559	2627.542	2493.587	2585.789	2384.622	2500.768	2402.786	2512.577	
karuk-2010-05-01-arg-edited-2_15.mat	"HH"	763.867	983.267	190.659	188.751	189.943	191.907	192.206	193.364	189.298	188.815	188.815	188.815	188.815	653.185	645.180	548.607	567.527	612.483	674.635	818.291	639.901	707.780	700.376	666.412	1421.226	1949.764	975.456	1099.109	961.955	1929.940	2271.533	1119.742	1032.012	1650.677	1382.883	3002.419	3375.514	2692.409	2784.438	2679.331	3362.594	3703.588	2810.623	2896.909	3193.113	2661.925	
karuk-2010-05-01-arg-edited-2_15.mat	"UW1"	983.267	1068.433	153.173	153.173	170.449	166.556	162.454	158.099	152.858	146.888	143.123	141.944	140.165	373.800	371.670	393.819	361.450	345.599	350.808	362.707	370.951	434.771	393.145	358.125	1074.248	1076.225	914.417	974.716	1069.044	1139.956	1154.255	967.661	1008.047	1219.776	1201.802	2578.889	2566.875	2578.156	2582.253	2490.957	2535.761	2665.352	2596.362	2486.211	2563.825	2721.633	
karuk-2010-05-01-arg-edited-2_43.mat	"ikii"	0.000	117.168	197.644	197.644	197.644	197.644	197.644	197.644	197.644	213.590	200.689	191.663	185.272	598.100	598.100	598.100	807.659	1035.719	1193.543	292.567	347.328	362.698	353.554	347.084	2305.047	2305.047	2305.047	2454.137	2527.186	2657.046	2309.005	2223.761	2141.906	2084.121	2050.254	2789.441	2789.441	2789.441	2818.455	2812.115	2960.645	2816.564	2750.341	2710.903	2659.174	2768.185	
karuk-2010-05-01-arg-edited-2_43.mat	"IH0"	0.000	30.000	0	0	0	0	0	0	0	0	0	0	0	667.833	667.833	667.833	667.833	667.833	667.833	667.833	667.833	667.833	528.982	744.641	2446.884	2446.884	2446.884	2446.884	2446.884	2446.884	2446.884	2446.884	2446.884	2440.331	2449.946	2819.830	2819.830	2819.830	2819.830	2819.830	2819.830	2819.830	2819.830	2819.830	2815.434	2822.883	
karuk-2010-05-01-arg-edited-2_43.mat	"K"	30.000	65.231	0	0	0	0	0	0	0	0	0	0	0	953.268	954.269	1004.164	1009.075	1015.261	1116.753	1232.305	1265.277	1355.088	657.066	298.332	2529.046	2462.338	2461.276	2461.562	2504.446	2688.731	2816.785	2698.006	2510.947	2446.781	2347.849	2868.672	2819.787	2809.420	2808.202	2815.981	2817.405	2840.990	2862.767	3220.688	3128.522	2822.545	
karuk-2010-05-01-arg-edited-2_43.mat	"IY1"	65.231	117.168	197.644	197.644	218.292	209.374	206.221	199.490	195.044	191.885	188.689	186.025	183.352	349.073	317.610	339.895	354.457	360.098	363.965	362.981	355.819	341.594	344.231	353.934	2140.055	2267.921	2231.128	2221.597	2177.276	2132.778	2110.326	2083.567	2069.803	2064.720	2031.161	2733.380	2807.201	2774.652	2724.691	2726.389	2715.576	2676.611	2653.814	2670.786	2739.274	2832.323	
karuk-2010-05-01-arg-edited-2_56.mat	"uxu"	770.000	942.627	217.214	212.314	205.024	203.561	203.395	204.921	205.790	244.317	239.149	235.639	229.991	581.257	949.497	549.524	478.405	630.636	898.572	829.894	456.804	369.477	362.096	307.694	1549.295	2294.479	1467.347	1233.799	1121.643	2160.410	1567.363	1494.384	1338.175	1361.177	1476.708	2825.873	3550.202	2780.010	2651.783	2582.205	3683.171	2584.794	2572.324	2564.426	2563.141	2770.684	
karuk-2010-05-01-arg-edited-2_56.mat	"UH0"	770.000	800.000	209.377	216.056	214.366	212.670	211.529	209.841	208.249	206.275	205.157	204.370	205.124	785.270	980.561	969.471	960.528	939.801	917.421	920.095	757.894	396.950	476.952	466.835	1954.711	2454.276	2334.628	2245.795	2232.560	2237.995	2227.647	2012.086	1087.857	1259.969	1340.102	3238.481	3135.949	3350.472	3656.751	3718.985	3752.758	3709.262	3361.279	2628.905	2556.890	2519.983	
karuk-2010-05-01-arg-edited-2_56.mat	"HH"	800.000	880.507	204.300	203.549	203.516	203.844	203.619	203.115	204.280	205.764	205.965	205.427	205.427	674.851	454.460	469.960	513.710	665.329	656.012	972.694	823.119	876.540	805.439	574.380	1520.360	1269.937	1243.272	1226.954	1062.119	1283.366	2503.244	1798.377	1273.169	1805.092	1771.456	2820.890	2533.885	2604.765	2755.191	2471.263	2779.716	4015.659	3360.520	2452.879	2685.602	2640.132	
karuk-2010-05-01-arg-edited-2_56.mat	"UH0"	880.507	942.627	235.914	244.341	243.857	240.526	237.398	236.365	235.938	235.075	233.665	230.525	227.086	354.324	404.888	393.220	365.473	365.470	374.584	366.387	350.854	346.584	320.863	270.112	1384.793	1369.672	1247.200	1299.742	1372.081	1393.997	1367.543	1345.475	1312.880	1524.565	1561.432	2620.201	2538.088	2535.260	2567.872	2573.606	2549.953	2536.476	2581.716	2689.882	2729.088	2856.008	
karuk-2010-09-13-ag-vs-2_08.mat	"iiki"	3356.044	3753.890	170.281	182.165	183.888	182.788	173.633	148.377	139.711	148.464	148.464	148.464	187.133	481.021	497.071	452.453	428.649	437.392	333.024	298.411	458.668	920.661	705.489	295.226	2103.680	2192.776	2293.952	2365.169	2377.630	2416.041	2124.162	1623.593	1673.551	1965.003	2012.937	3101.224	3163.870	3103.843	3165.196	3361.804	3456.633	2947.642	2569.691	2779.107	2956.402	3525.515	
