Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	
karuk-2011-12-21-vs-7_10.mat	"UH0"	19.859	55.966	0	0	0	0	0	0	838.847	866.027	850.011	877.725	955.191	670.089	1966.649	2050.631	2074.582	1991.394	1719.314	2054.545	3022.226	3127.028	3045.423	3038.167	3121.536	2871.213	
karuk-2011-12-21-vs-7_10.mat	"HH"	55.966	188.813	448.009	448.009	448.009	488.467	463.809	205.365	791.612	933.198	798.615	664.477	615.801	926.767	1477.546	1898.275	1265.835	1063.984	1039.661	2066.773	3035.320	2900.116	2875.304	2928.461	2915.824	3506.081	
karuk-2011-12-21-vs-7_10.mat	"UH0"	188.813	258.436	210.640	204.862	202.015	210.773	218.736	217.219	340.063	317.918	307.058	368.231	388.353	323.722	1416.073	1327.349	1342.664	1404.455	1474.559	1541.484	3048.893	3491.058	3242.294	2663.992	2774.102	3069.636	
karuk-2012-10-20-vs-4_B_14.mat	"ikii"	394.190	903.594	180.065	183.237	183.237	183.237	186.727	163.231	452.519	357.889	422.283	784.897	348.032	348.342	2246.930	2327.266	2059.165	2188.516	2338.372	2320.694	2926.818	2935.096	2818.852	3113.257	3023.497	2741.342	
karuk-2012-10-20-vs-4_B_14.mat	"IH0"	394.190	467.481	193.051	182.328	188.719	197.852	201.922	190.868	359.239	365.270	399.369	372.458	356.928	300.951	2289.519	2177.641	2146.532	2242.950	2389.505	2496.806	2860.893	2794.236	2753.608	2899.684	3006.868	2855.262	
karuk-2012-10-20-vs-4_B_14.mat	"K"	467.481	703.065	162.346	158.624	158.624	158.624	158.624	212.597	567.952	375.585	400.657	471.398	787.798	806.799	2164.618	2357.416	2081.830	1928.073	2134.485	2313.452	2989.720	3047.490	2758.713	2915.630	3078.262	3158.953	
karuk-2012-10-20-vs-4_B_14.mat	"IY1"	703.065	903.594	177.945	194.343	179.583	187.763	157.337	148.031	349.471	334.462	354.880	375.955	331.897	350.491	2329.551	2327.518	2327.699	2394.682	2370.696	2230.129	2877.969	3100.077	2978.768	2893.015	2787.551	2637.591	
karuk-2012-10-20-vs-4_B_20.mat	"ikii"	234.510	693.174	156.151	162.960	164.271	164.271	156.600	146.130	418.220	357.627	346.747	649.037	411.041	330.830	2116.791	2091.198	2149.442	2047.385	2148.663	2150.313	2873.957	2927.435	2772.069	2971.596	2945.224	2752.523	
karuk-2012-10-20-vs-4_B_20.mat	"IH0"	234.510	344.290	166.464	266.143	78.815	121.383	177.722	183.969	343.887	380.417	365.688	347.576	344.090	285.361	2117.137	2043.647	2062.194	2061.308	2167.494	2247.630	2909.813	3112.011	2918.944	2865.912	2840.170	2816.516	
karuk-2012-10-20-vs-4_B_20.mat	"K"	344.290	535.450	150.809	150.809	150.809	150.809	150.809	150.809	535.442	334.775	394.220	402.781	804.654	744.991	2072.087	2240.661	2013.646	2093.942	2046.463	1958.366	2900.370	2791.041	2711.175	2973.280	3012.261	3001.439	
