Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF0_means006	pF0_means007	pF0_means008	pF0_means009	pF0_means010	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF1_means006	pF1_means007	pF1_means008	pF1_means009	pF1_means010	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF2_means006	pF2_means007	pF2_means008	pF2_means009	pF2_means010	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	pF3_means006	pF3_means007	pF3_means008	pF3_means009	pF3_means010	
VS-34a_35.mat	"puu"	0.000	318.589	209.256	209.256	209.256	209.256	226.192	211.750	209.093	212.415	209.896	203.836	196.251	612.070	1534.098	1433.482	985.533	449.824	407.969	405.242	402.689	411.203	408.510	397.725	1274.859	2630.693	2570.371	2077.912	1119.525	860.989	875.390	874.602	909.880	923.109	960.357	2737.647	4035.652	3893.539	3029.782	2645.187	2450.505	2483.508	2484.224	2457.623	2505.764	2422.603	
VS-34a_35.mat	"P"	0.000	109.709	231.229	231.229	231.229	231.229	231.229	231.229	231.229	231.229	231.229	231.229	231.229	1117.248	1117.248	1117.248	1532.625	1526.710	1409.064	1334.081	1096.360	861.873	901.693	413.039	2189.112	2189.112	2189.112	2640.029	2628.206	2539.560	2490.745	2185.875	1933.116	2042.953	1230.533	3402.406	3402.406	3402.406	4041.656	4074.168	3681.912	3888.853	3425.680	2502.619	3055.910	2725.143	
VS-34a_35.mat	"UW1"	109.709	318.589	208.646	222.984	211.889	209.090	209.408	212.415	212.146	208.780	204.590	200.923	194.295	403.932	389.717	408.962	407.517	403.728	401.012	409.203	411.363	409.025	404.245	395.530	898.578	870.508	858.777	870.887	875.617	873.119	888.622	917.955	918.711	941.503	965.511	2463.631	2429.449	2448.787	2456.779	2499.297	2486.791	2471.545	2449.373	2503.145	2480.216	2414.310	
VS-34a_39.mat	"pu"	370.000	543.030	198.517	157.063	153.321	153.321	153.321	153.321	153.321	232.950	211.288	204.634	202.103	449.474	519.228	521.424	445.856	465.994	449.484	484.949	413.451	421.770	414.678	399.908	1399.087	1489.801	2090.956	1672.653	1811.488	1745.198	1467.255	897.665	934.733	933.544	907.152	2804.582	3124.295	3262.711	3117.302	3072.330	2983.931	2312.569	2546.163	2545.446	2540.082	2496.395	
VS-34a_39.mat	"P"	370.000	477.776	167.145	157.835	154.735	154.735	154.735	154.735	154.735	154.735	154.735	154.735	246.579	470.196	520.332	567.443	514.602	357.198	670.280	390.232	268.587	522.659	553.121	385.757	1684.505	1806.259	1495.552	2273.095	1651.918	1955.845	1716.416	1623.930	1804.368	1632.210	1125.677	2964.757	3399.347	3079.423	3263.200	3038.291	3325.265	3024.281	2831.798	3092.952	2340.149	2350.760	
VS-34a_39.mat	"UH0"	477.776	543.030	211.222	240.198	223.521	215.661	209.806	206.973	205.244	203.806	203.457	202.435	200.840	414.480	417.584	431.259	426.935	419.967	417.182	417.185	413.098	408.633	400.522	394.076	920.080	900.603	899.988	913.245	944.829	949.038	935.483	932.245	916.501	889.592	921.632	2536.135	2567.293	2574.555	2554.317	2544.804	2535.488	2554.092	2534.759	2522.871	2503.702	2469.012	
VS-34a_40.mat	"pu"	570.000	684.190	182.612	182.612	182.612	182.612	182.612	182.612	188.554	187.445	185.434	179.878	172.440	457.641	495.944	489.940	553.291	525.593	349.261	393.385	405.262	423.384	456.778	467.470	1155.282	1374.168	1487.241	1526.649	1323.757	1049.331	927.450	928.118	927.498	963.162	1033.659	2517.725	2729.724	2802.483	2735.394	2747.305	2732.773	2343.707	2258.023	2306.093	2359.152	2141.539	
VS-34a_40.mat	"P"	570.000	625.424	0	0	0	0	0	0	0	0	0	0	0	488.604	480.483	512.806	507.403	470.297	501.469	599.655	561.777	584.947	364.920	359.156	1365.876	1391.188	1354.402	1431.876	1541.097	1624.564	1469.187	1333.593	1296.765	1265.430	921.301	2757.268	2774.690	2683.866	2714.860	2915.403	2776.671	2715.814	2692.561	2755.580	2857.261	2697.595	
VS-34a_40.mat	"UH0"	625.424	684.190	182.612	187.429	188.978	188.353	187.146	186.448	184.725	181.621	178.484	174.740	170.775	427.274	383.441	395.273	402.947	405.930	410.940	432.792	452.002	461.630	462.553	470.800	954.370	910.801	932.929	933.402	926.043	921.700	931.871	956.616	968.764	991.459	1064.394	2295.430	2530.766	2276.758	2230.899	2269.918	2264.350	2338.796	2404.831	2342.717	2133.444	2158.931	
VS-34a_42.mat	"pu"	870.000	1036.977	170.546	144.031	142.995	147.545	151.664	151.664	151.664	151.664	214.465	197.621	189.750	415.577	222.019	299.685	278.188	408.392	519.797	766.722	594.979	361.369	379.724	337.422	1325.333	951.947	1275.875	1382.282	1513.665	1747.974	1949.987	1813.140	794.671	865.225	930.219	2654.668	2595.413	2586.183	2700.403	2696.784	2599.408	3130.097	3008.630	2399.456	2263.552	2525.733	
VS-34a_42.mat	"P"	870.000	992.305	150.337	144.923	142.047	145.046	147.539	151.269	151.269	151.269	151.269	151.269	215.195	435.668	202.329	284.906	300.101	270.206	357.797	473.806	542.627	781.307	814.649	319.210	1486.182	917.615	1139.332	1332.900	1394.077	1433.471	1696.550	1728.466	1973.139	2085.726	1196.865	2749.223	2643.036	2514.655	2665.058	2696.004	2659.297	2707.257	2590.075	3163.926	3363.239	2519.035	
VS-34a_42.mat	"UH0"	992.305	1036.977	199.192	218.615	215.059	204.583	199.414	196.718	194.957	193.103	191.155	188.950	186.305	360.088	352.492	376.866	383.743	384.008	382.646	374.532	354.953	335.137	328.052	333.622	884.136	834.239	852.203	848.609	849.386	863.141	883.693	903.928	918.391	931.687	961.984	2398.270	2503.097	2333.131	2224.028	2211.958	2268.426	2317.597	2404.438	2709.625	2604.039	2396.183	
VS-34a_43.mat	"pu"	1460.000	1599.884	184.947	162.476	166.775	168.145	168.145	168.145	218.315	199.170	191.516	189.028	184.184	523.024	353.125	857.753	723.607	575.033	848.994	399.940	399.274	388.725	351.336	358.553	1553.839	1390.568	2847.297	2407.743	2128.139	2159.621	1097.766	892.844	874.320	904.416	923.238	2874.171	3009.779	3899.469	3330.395	2668.191	3329.013	2636.235	2501.543	2534.250	2493.993	2387.936	
