Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	
karuk-2011-12-21-vs-8_38.mat	"UH0"	1326.732	1391.863	181.878	204.870	193.115	176.526	168.493	166.097	398.361	443.118	391.123	430.267	381.001	380.730	1339.584	1812.893	1255.430	1215.003	1197.316	1225.655	2759.601	3555.815	2426.874	2509.251	2571.444	2748.445	
karuk-2011-12-21-vs-8_39.mat	"pu"	140.000	222.852	139.469	48.884	49.286	184.713	188.239	186.734	471.422	673.061	605.810	419.153	265.669	374.208	1641.910	1775.398	1981.870	1726.262	993.106	1668.921	3062.922	3315.306	3135.965	3141.943	2748.478	2935.656	
karuk-2011-12-21-vs-8_39.mat	"P"	140.000	182.705	68.534	48.596	49.247	49.286	49.286	181.025	614.838	801.720	545.877	540.297	694.818	505.105	1920.017	1776.574	1786.857	1897.087	2108.758	2048.769	3224.663	3339.022	3322.908	2923.275	3437.413	3189.132	
karuk-2011-12-21-vs-8_39.mat	"UH0"	182.705	222.852	187.263	186.481	188.190	188.488	187.173	186.060	314.332	266.821	257.958	278.453	361.043	402.661	1347.537	1255.113	1022.481	951.490	1417.568	2014.950	2890.332	3026.544	2824.751	2627.394	2855.414	3086.520	
karuk-2011-12-21-vs-8_43.mat	"pu"	340.000	468.845	92.885	48.606	49.590	50.619	203.187	163.770	601.221	723.817	635.297	910.938	376.351	394.330	1689.009	1772.350	1974.300	2152.792	1519.137	1069.060	3041.039	3160.204	3140.156	3355.760	2904.272	2676.948	
karuk-2011-12-21-vs-8_43.mat	"P"	340.000	434.116	57.605	49.418	47.692	50.519	50.653	208.295	685.751	667.338	788.847	521.426	956.681	484.073	1903.427	1702.354	1990.908	1950.878	2163.992	1731.596	3145.016	3043.395	3411.061	2964.196	3436.270	2925.342	
karuk-2011-12-21-vs-8_43.mat	"UH0"	434.116	468.845	173.500	203.352	192.678	173.738	155.629	142.452	368.700	284.279	390.970	435.188	410.450	334.713	1115.920	1264.331	1170.372	1114.782	1033.781	990.734	2769.515	3062.288	2848.793	2704.197	2639.423	2580.185	
karuk-2012-03-30-vs-3_02.mat	"pu"	400.000	546.437	218.648	202.069	205.041	247.562	231.113	223.409	546.993	358.448	717.256	767.263	456.716	438.323	1557.407	1959.911	2157.680	1513.347	1119.039	1029.550	2880.601	3001.369	3284.186	2835.116	2638.885	2647.196	
karuk-2012-03-30-vs-3_02.mat	"P"	400.000	479.495	206.265	198.702	206.059	204.793	204.905	261.597	630.169	356.695	365.624	406.837	1217.793	812.295	1953.570	1836.490	2136.476	2110.069	2192.381	1506.486	3093.607	2992.332	3086.555	3187.044	3388.189	2831.000	
karuk-2012-03-30-vs-3_02.mat	"UH0"	479.495	546.437	231.015	248.205	231.693	227.197	224.695	221.570	447.286	451.969	457.576	454.518	454.515	419.010	1085.562	1152.773	1119.625	1106.703	1051.700	990.089	2624.650	2539.952	2655.528	2646.239	2676.865	2616.142	
karuk-2012-03-30-vs-3_03.mat	"pu"	340.000	467.814	203.248	203.248	203.248	211.520	198.277	203.243	599.383	675.252	827.780	713.814	409.898	369.416	1437.115	2156.725	1741.871	1466.219	916.029	876.710	2614.114	3181.480	2643.460	2640.274	2332.167	2238.413	
karuk-2012-03-30-vs-3_03.mat	"P"	340.000	406.383	207.886	207.886	207.886	207.886	207.886	207.886	795.972	727.991	625.165	698.046	937.992	966.294	1934.242	2358.788	1931.222	1731.656	1746.702	1866.917	2923.918	3502.626	2839.422	2794.068	2437.732	2976.564	
karuk-2012-03-30-vs-3_03.mat	"UH0"	406.383	467.814	203.040	210.430	196.418	200.309	203.220	203.462	386.410	378.277	407.493	415.772	396.106	339.034	904.780	937.848	912.280	923.433	894.899	851.869	2280.674	2268.044	2339.633	2342.068	2308.991	2152.779	
karuk-2012-03-30-vs-3_04.mat	"pu"	270.000	413.226	255.064	255.064	255.064	238.916	260.125	265.627	567.570	838.957	768.528	410.583	394.407	423.214	1282.488	1882.070	1538.452	969.864	992.217	1021.623	2539.666	3092.893	2625.132	2346.249	2340.608	2289.170	
karuk-2012-03-30-vs-3_04.mat	"P"	270.000	332.362	246.649	246.649	246.649	246.649	246.649	246.649	769.452	988.000	674.087	948.866	846.478	386.545	1653.129	2067.435	1726.150	1836.064	1507.765	1152.842	2817.337	3058.685	3104.884	3176.798	2522.299	2255.781	
karuk-2012-03-30-vs-3_04.mat	"UH0"	332.362	413.226	255.453	238.252	243.022	264.533	274.170	258.972	410.543	422.478	400.712	387.122	413.012	427.578	993.929	962.669	983.803	989.501	1010.470	1024.267	2324.584	2374.045	2257.910	2367.176	2484.372	2150.979	
karuk-2012-03-30-vs-3_18.mat	"pu"	240.000	369.690	204.436	204.436	204.436	213.234	200.152	200.024	548.416	571.798	997.824	390.204	399.465	369.485	1397.441	1907.383	2004.473	977.411	892.400	1194.697	2676.367	2877.784	3051.016	2455.588	2583.245	2427.440	
karuk-2012-03-30-vs-3_18.mat	"P"	240.000	295.620	216.757	216.757	216.757	216.757	216.757	216.757	755.565	479.454	611.592	817.980	1279.671	657.380	1904.301	1705.276	1999.098	2124.379	2104.507	1640.386	2923.775	2527.747	3035.896	3448.209	2984.795	2673.758	
karuk-2012-03-30-vs-3_18.mat	"UH0"	295.620	369.690	203.874	216.271	204.170	199.499	199.851	200.032	388.716	391.592	411.430	399.156	376.262	366.324	1009.581	926.273	908.416	884.884	943.257	1361.425	2485.808	2365.917	2603.781	2568.718	2526.448	2364.089	
karuk-2012-03-30-vs-3_21.mat	"pu"	230.000	404.935	226.544	226.544	240.331	235.927	231.459	211.868	502.224	620.368	629.618	433.706	425.948	403.768	1297.757	1786.528	1585.576	967.457	1086.969	1056.583	2556.760	3131.780	2573.768	2417.406	2365.747	2297.775	
karuk-2012-03-30-vs-3_21.mat	"P"	230.000	297.711	0	0	0	0	0	0	627.821	395.786	703.334	826.518	730.141	525.550	1703.576	1645.652	1771.839	1990.578	1737.431	1403.785	2861.041	3033.052	3168.971	3189.594	2609.954	2321.760	
karuk-2012-03-30-vs-3_21.mat	"UH0"	297.711	404.935	226.544	235.230	238.384	234.237	211.988	213.393	421.264	436.556	429.681	429.144	409.065	402.289	1035.175	962.174	991.805	1104.821	1058.060	1061.299	2360.615	2427.348	2398.065	2368.510	2314.522	2295.539	
karuk-2012-03-30-vs-3_24.mat	"pu"	400.000	535.877	204.569	166.664	166.664	237.542	228.601	214.747	442.308	514.219	508.835	431.704	365.343	392.135	1247.172	1285.589	1265.647	1307.500	1023.635	1344.842	2449.721	2303.128	2374.483	2595.305	2523.118	2447.803	
karuk-2012-03-30-vs-3_24.mat	"P"	400.000	485.755	178.803	166.202	167.752	167.752	167.752	239.499	475.859	500.265	530.289	499.520	494.840	358.633	1269.842	1291.239	1270.066	1241.365	1381.224	1176.573	2432.683	2292.026	2357.920	2358.771	2574.158	2563.075	
karuk-2012-03-30-vs-3_24.mat	"UH0"	485.755	535.877	220.394	236.114	220.305	214.385	213.746	216.135	382.866	351.288	387.666	396.910	391.791	388.657	1203.084	993.399	1050.697	1178.635	1308.245	1475.326	2480.399	2532.537	2512.806	2493.271	2432.087	2430.014	
karuk-2012-03-31-vs-2a_05.mat	"pu"	1570.000	1661.983	140.956	75.046	145.388	165.459	162.393	154.744	542.620	253.973	1531.954	259.399	290.982	270.717	1900.899	1820.180	2349.075	1619.016	1755.451	1912.607	2655.050	3096.056	3416.000	2421.772	2121.257	2161.518	
karuk-2012-03-31-vs-2a_05.mat	"P"	1570.000	1607.278	112.054	74.628	75.296	101.044	151.417	157.827	927.753	285.633	239.499	868.914	1804.275	1505.311	2095.368	1791.980	1796.567	2229.759	2258.925	2422.412	3272.664	3300.252	3017.827	3300.622	3119.326	3645.813	
karuk-2012-03-31-vs-2a_05.mat	"UH0"	1607.278	1661.983	160.913	164.296	166.769	163.953	153.785	155.564	273.361	234.747	302.176	287.092	276.820	271.532	1762.975	1608.815	1659.201	1762.212	1845.931	1940.927	2236.241	2570.106	2175.383	2109.665	2138.007	2171.521	
karuk-2012-03-31-vs-2c_08.mat	"ki"	1080.000	1240.649	190.606	190.606	190.606	203.544	187.199	188.563	601.824	559.551	1065.779	633.731	383.965	376.335	1862.596	1513.698	2103.093	2034.784	1909.418	1752.519	2793.622	2951.665	3210.975	2652.083	2555.209	2595.519	
karuk-2012-03-31-vs-2c_08.mat	"K"	1080.000	1160.533	0	0	0	0	0	0	821.547	538.885	575.739	835.782	1280.640	861.033	1863.842	1565.783	1461.925	2085.763	2114.655	2065.373	3004.270	2776.468	3122.408	3294.658	3128.779	2710.037	
karuk-2012-03-31-vs-2c_08.mat	"IH0"	1160.533	1240.649	190.606	202.795	188.183	185.812	187.933	189.221	375.884	359.218	380.685	388.008	383.290	369.547	1864.063	2002.354	1946.291	1867.426	1799.453	1704.843	2579.840	2586.169	2557.362	2559.024	2577.365	2614.499	
karuk-2012-10-20-vs-4_A_04.mat	"ki"	720.000	881.662	82.962	82.962	93.667	97.698	74.437	74.437	474.652	696.960	634.621	306.308	363.558	367.089	1949.692	1959.217	1595.817	2088.548	2091.092	2020.676	2818.078	3359.185	2653.838	2700.349	2668.100	2694.974	
karuk-2012-10-20-vs-4_A_04.mat	"K"	720.000	791.303	96.414	96.414	96.414	96.414	96.414	96.414	627.752	625.322	751.386	827.784	706.352	230.683	1768.948	1997.124	1974.193	1731.675	1418.322	1694.709	2962.935	3685.882	3210.402	2597.091	2684.186	2597.761	
karuk-2012-10-20-vs-4_A_04.mat	"IH0"	791.303	881.662	79.623	98.640	72.587	75.353	75.353	75.353	352.513	316.360	343.135	365.907	387.830	350.400	2087.785	2164.697	2148.562	2081.824	2053.487	1992.288	2699.683	2745.133	2698.225	2671.475	2692.428	2691.592	
karuk-2012-10-20-vs-4_A_14.mat	"ki"	520.000	623.226	205.082	205.082	205.082	226.178	200.139	195.974	585.589	1052.502	794.059	357.162	372.832	361.572	1939.296	1954.877	1902.144	2076.264	1935.959	1831.008	2575.856	2833.679	2422.138	2471.011	2520.663	2611.993	
karuk-2012-10-20-vs-4_A_14.mat	"K"	520.000	569.992	227.328	227.328	227.328	227.328	227.328	227.328	824.350	558.849	1513.453	926.533	746.874	431.416	1949.453	1786.148	2103.079	1943.278	1867.304	2048.061	2591.829	2700.689	2954.190	2501.672	2391.425	2387.417	
karuk-2012-10-20-vs-4_A_14.mat	"IH0"	569.992	623.226	204.670	227.582	202.751	198.608	196.851	195.183	354.298	309.409	366.141	377.213	371.754	352.201	1935.082	2110.074	1981.807	1908.496	1855.697	1809.078	2560.241	2538.697	2533.082	2511.039	2570.098	2650.737	
karuk-2012-10-20-vs-4_A_15.mat	"ki"	630.000	801.760	180.806	180.806	180.806	201.656	170.784	175.111	651.381	1205.662	989.199	355.665	355.714	353.401	2108.232	2293.074	1997.226	2125.333	2161.529	1966.287	2816.004	3190.321	2752.080	2784.493	2711.014	2629.101	
karuk-2012-10-20-vs-4_A_15.mat	"K"	630.000	709.350	210.124	210.124	210.124	210.124	210.124	210.124	1005.761	1066.944	1325.890	1195.616	920.482	536.790	2099.020	2271.013	2326.561	2087.279	2009.408	1811.787	2951.938	3368.220	3092.920	2663.627	2838.946	2768.049	
karuk-2012-10-20-vs-4_A_15.mat	"IH0"	709.350	801.760	180.495	207.227	173.350	170.125	174.589	175.386	345.653	314.458	348.690	359.613	363.143	345.473	2113.223	2269.149	2205.657	2144.079	2051.021	1900.194	2698.527	2790.247	2727.082	2714.063	2616.988	2641.349	
karuk-2012-10-20-vs-4_A_34.mat	"pu"	260.000	396.657	190.910	190.910	190.910	215.021	204.135	176.942	781.329	1415.865	1235.683	478.567	385.414	398.152	1638.667	2580.335	2094.441	1383.511	1085.147	1062.671	3001.226	3576.254	3334.026	2656.525	2696.176	2738.808	
karuk-2012-10-20-vs-4_A_34.mat	"P"	260.000	347.383	218.985	218.985	218.985	218.985	218.985	218.985	999.609	1284.471	1693.268	1047.572	652.809	306.287	1965.779	2561.983	2643.663	1880.949	1461.574	1280.596	3144.525	3455.156	3909.062	3106.621	2765.388	2487.408	
karuk-2012-10-20-vs-4_A_34.mat	"UH0"	347.383	396.657	187.661	217.422	187.771	179.600	177.016	174.924	396.581	384.511	402.490	411.977	401.246	384.672	1063.728	1055.490	1073.610	1064.385	1074.195	1051.939	2747.687	2757.599	2753.927	2810.768	2764.608	2654.551	
karuk-2012-10-20-vs-4_A_35.mat	"pu"	210.000	311.534	209.179	209.179	209.179	209.179	209.374	209.341	681.285	997.387	944.900	680.464	441.984	387.578	1590.224	1905.864	1924.981	1805.733	1335.444	1044.242	2958.695	3195.905	3166.679	3031.352	2978.528	2498.145	
karuk-2012-10-20-vs-4_A_35.mat	"P"	210.000	281.723	207.201	207.201	207.201	207.201	207.201	207.201	808.311	1060.736	830.326	986.774	486.594	633.588	1819.363	1976.005	1730.908	2044.716	1607.999	1700.094	3098.923	3267.266	3010.174	3268.514	2693.357	3193.359	
karuk-2012-10-20-vs-4_A_35.mat	"UH0"	281.723	311.534	209.423	209.070	214.026	213.860	207.851	202.961	369.510	315.851	364.578	378.992	386.533	404.402	1031.380	990.942	1031.773	1014.478	1017.367	1099.050	2626.443	2979.619	2769.532	2661.899	2510.122	2216.166	
karuk-2012-10-20-vs-4_A_36.mat	"pu"	100.000	218.762	215.866	215.866	215.866	215.866	213.755	217.115	782.489	1285.270	928.759	777.007	556.749	392.249	1745.927	2470.715	2112.379	1735.136	1441.666	1007.284	3023.973	3625.301	3049.504	2811.556	3004.812	2651.485	
