audio,transcription,transcription_mfa,speaker,matched_words,sequences,issues
karuk-2011-12-21-vs-8_37,punamaahtih.,punamaahtih,VS,punamaahtih,pu,none
karuk-2011-12-21-vs-8_38,naa vura punapakuriihvutihara.,naa vura punapakuriihvutihara,VS,punapakuriihvutihara,pu,none
karuk-2011-12-21-vs-8_39,punapakuriihvutihara.,punapakuriihvutihara,VS,punapakuriihvutihara,pu,none
karuk-2011-12-21-vs-8_43,puna'apimtihara.,punaqapimtihara,VS,punaqapimtihara,pu,none
karuk-2011-08-16-vs-3_19,pa'apsuun kaan puuvish ukrii.,paqapsuun kaan puuvish ukrii,VS,puuvish,puu,loud
karuk-2010-07-23-ag-vs-3_15,pakihara puuvish thaankurih.,pakihara puuvish thaankurih,VS,puuvish,puu,none
karuk-2010-07-23-ag-vs-4_06,puuhara punamaahtihara papusihich.,puuhara punamaahtihara papusihich,VS,"puuhara,punamaahtihara","puu,pu",none
karuk-2010-07-23-ag-vs-4_39,puuhara papufich'iish pukinimnisheeshara.,puuhara papufichqiish pukinimnisheeshara,VS,"puuhara,pukinimnisheeshara","puu,pu",second pu is inaudible but can see formants
karuk-2013-01-27-vs-1_B_05,puna'aapunmutihara.,punaqaapunmutihara,VS,punaqaapunmutihara,pu,none
frog-10b,Xas uum paxanchiifich iin kinimuustih.,Xas uum paxanchiifich iin kinimuustih,VS,kinimuustih,ki,none
frog-23-cut,"Xas payeem paxanchiifich too xus, "" Kiri naa karu nipaatveesh.""",Xas payeem paxanchiifich too xus Kiri naa karu nipaatveesh,VS,xus,xu,none
frog-6c,Pamufithih kich ta numah.,Pamufithih kich ta numah,VS,kich,ki,none
karuk-2012-10-20-vs-4_A_04,huut kich?,huut kich,VS,kich,ki,none
karuk-2012-10-20-vs-4_A_14,huut kich peempaah?,huut kich peempaah,VS,kich,ki,none
karuk-2012-10-20-vs-4_A_15,huut kich peeshkeesh?,huut kich peeshkeesh,VS,kich,ki,none
karuk-2012-10-20-vs-4_A_34,purafaat.,purafaat,VS,purafaat,pu,none
