Filename,seq,seq_id,part,issue,dur_mod,dur,Label,word,sentence,before,after,V1_dur,C_dur,V2_dur,V2_maxpF2,V2_maxpF2_tpt,V2_minpF2,V2_minpF2_tpt,V2_pF2diff,timepoint,pF2_means,V1,C,V2,V1_qual,V2_qual
karuk-2012-03-31-vs-2a_04.mat,iku,122,C,,105.12199999999984,105.12199999999984,K,pananikustaan,pananikustaan vura mit uum yaamach,IH0,UH0,56.703000000000095,105.12199999999984,52.60500000000002,2212.389,20,1631.513,19,580.8760000000002,1,1911.901,i,k,u,i,u
karuk-2012-03-31-vs-2a_04.mat,iku,122,V2,,52.60500000000002,52.60500000000002,UH0,pananikustaan,pananikustaan vura mit uum yaamach,K,SH,56.703000000000095,105.12199999999984,52.60500000000002,2212.389,20,1631.513,19,580.8760000000002,1,2025.353,i,k,u,i,u
karuk-2012-03-31-vs-2a_05.mat,iku,123,V1,,54.036000000000065,54.036000000000065,IH0,pananikustaan,pananikustaan uum payeem puyaamachhara,N,K,54.036000000000065,85.70199999999993,73.26300000000003,2097.112,3,1624.436,16,472.67600000000016,1,1718.1270000000004,i,k,u,i,u
karuk-2012-03-31-vs-2a_05.mat,iku,123,C,,85.70199999999993,85.70199999999993,K,pananikustaan,pananikustaan uum payeem puyaamachhara,IH0,UH0,54.036000000000065,85.70199999999993,73.26300000000003,2097.112,3,1624.436,16,472.67600000000016,1,2264.255,i,k,u,i,u
karuk-2012-03-31-vs-2a_05.mat,iku,123,V2,,73.26300000000003,73.26300000000003,UH0,pananikustaan,pananikustaan uum payeem puyaamachhara,K,SH,54.036000000000065,85.70199999999993,73.26300000000003,2097.112,3,1624.436,16,472.67600000000016,1,2023.619,i,k,u,i,u
karuk-2012-03-31-vs-2a_06.mat,iku,124,V1,,63.77300000000002,63.77300000000002,IH0,pananikustaan,koovura pananikustaan uum yaamachas,N,K,63.77300000000002,90.71500000000003,76.94699999999989,1931.715,1,1378.805,16,552.9099999999999,1,2029.747,i,k,u,i,u
karuk-2012-03-31-vs-2a_06.mat,iku,124,C,,90.71500000000003,90.71500000000003,K,pananikustaan,koovura pananikustaan uum yaamachas,IH0,UH0,63.77300000000002,90.71500000000003,76.94699999999989,1931.715,1,1378.805,16,552.9099999999999,1,2146.306,i,k,u,i,u
karuk-2012-03-31-vs-2a_06.mat,iku,124,V2,,76.94699999999989,76.94699999999989,UH0,pananikustaan,koovura pananikustaan uum yaamachas,K,SH,63.77300000000002,90.71500000000003,76.94699999999989,1931.715,1,1378.805,16,552.9099999999999,1,1931.715,i,k,u,i,u
karuk-2012-03-31-vs-2a_07.mat,iku,125,V1,,71.24900000000002,71.24900000000002,IH0,pananikustaan,koovura pananikustaan vura yaamachas,N,K,71.24900000000002,87.12300000000003,79.35399999999981,2078.283,1,1406.5479999999998,19,671.7350000000001,1,1774.304,i,k,u,i,u
karuk-2012-03-31-vs-2a_07.mat,iku,125,C,,87.12300000000003,87.12300000000003,K,pananikustaan,koovura pananikustaan vura yaamachas,IH0,UH0,71.24900000000002,87.12300000000003,79.35399999999981,2078.283,1,1406.5479999999998,19,671.7350000000001,1,2037.171,i,k,u,i,u
karuk-2012-03-31-vs-2a_07.mat,iku,125,V2,,79.35399999999981,79.35399999999981,UH0,pananikustaan,koovura pananikustaan vura yaamachas,K,SH,71.24900000000002,87.12300000000003,79.35399999999981,2078.283,1,1406.5479999999998,19,671.7350000000001,1,2078.283,i,k,u,i,u
karuk-2012-03-31-vs-2a_08.mat,iku,126,V1,,76.32900000000002,76.32900000000002,IH0,pananikustaan,pananikustaan koovura yaamachas,N,K,76.32900000000002,110.36399999999992,76.31400000000008,2038.762,1,1606.964,20,431.798,1,1714.161,i,k,u,i,u
karuk-2012-03-31-vs-2a_08.mat,iku,126,C,,110.36399999999992,110.36399999999992,K,pananikustaan,pananikustaan koovura yaamachas,IH0,UH0,76.32900000000002,110.36399999999992,76.31400000000008,2038.762,1,1606.964,20,431.798,1,2100.326,i,k,u,i,u
karuk-2012-03-31-vs-2a_08.mat,iku,126,V2,,76.31400000000008,76.31400000000008,UH0,pananikustaan,pananikustaan koovura yaamachas,K,SH,76.32900000000002,110.36399999999992,76.31400000000008,2038.762,1,1606.964,20,431.798,1,2038.762,i,k,u,i,u
karuk-2012-03-31-vs-2a_09.mat,iku,127,V1,,53.17700000000002,53.17700000000002,IH0,pananikustaansa,pananikustaansa vura yaamachas payeem,N,K,53.17700000000002,106.56799999999993,91.12099999999998,2024.094,1,1372.267,19,651.827,1,2318.124,i,k,u,i,u
karuk-2012-03-31-vs-2a_09.mat,iku,127,C,,106.56799999999993,106.56799999999993,K,pananikustaansa,pananikustaansa vura yaamachas payeem,IH0,UH0,53.17700000000002,106.56799999999993,91.12099999999998,2024.094,1,1372.267,19,651.827,1,2206.723,i,k,u,i,u
karuk-2012-03-31-vs-2a_09.mat,iku,127,V2,,91.12099999999998,91.12099999999998,UH0,pananikustaansa,pananikustaansa vura yaamachas payeem,K,SH,53.17700000000002,106.56799999999993,91.12099999999998,2024.094,1,1372.267,19,651.827,1,2024.094,i,k,u,i,u
karuk-2012-03-31-vs-2a_11.mat,iku,128,V1,,56.053000000000104,56.053000000000104,IH0,pananikustaansa,pananikustaansa vura mit uum yaamachas,N,K,56.053000000000104,87.899,87.53499999999997,2416.386,20,1415.777,15,1000.6089999999999,1,1385.168,i,k,u,i,u
karuk-2012-03-31-vs-2a_11.mat,iku,128,C,,87.899,87.899,K,pananikustaansa,pananikustaansa vura mit uum yaamachas,IH0,UH0,56.053000000000104,87.899,87.53499999999997,2416.386,20,1415.777,15,1000.6089999999999,1,2072.209,i,k,u,i,u
karuk-2012-03-31-vs-2a_11.mat,iku,128,V2,,87.53499999999997,87.53499999999997,UH0,pananikustaansa,pananikustaansa vura mit uum yaamachas,K,SH,56.053000000000104,87.899,87.53499999999997,2416.386,20,1415.777,15,1000.6089999999999,1,1899.133,i,k,u,i,u
karuk-2012-03-31-vs-2b_01.mat,uxi,129,V1,V1 absent,0.0,22.203999999999837,UH0,puxich,naa vura puxich neetniivka,P,HH,0.0,110.98800000000006,87.26099999999997,1676.95,14,1277.807,1,399.14300000000003,1,1103.317,u,x,i,u,i
karuk-2012-03-31-vs-2b_01.mat,uxi,129,C,V1 absent,110.98800000000006,110.98800000000006,HH,puxich,naa vura puxich neetniivka,UH0,IH0,0.0,110.98800000000006,87.26099999999997,1676.95,14,1277.807,1,399.14300000000003,1,1211.91,u,x,i,u,i
karuk-2012-03-31-vs-2b_01.mat,uxi,129,V2,V1 absent,87.26099999999997,87.26099999999997,IH0,puxich,naa vura puxich neetniivka,HH,CH,0.0,110.98800000000006,87.26099999999997,1676.95,14,1277.807,1,399.14300000000003,1,1277.807,u,x,i,u,i
