Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF0_means006	pF0_means007	pF0_means008	pF0_means009	pF0_means010	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF1_means006	pF1_means007	pF1_means008	pF1_means009	pF1_means010	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF2_means006	pF2_means007	pF2_means008	pF2_means009	pF2_means010	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	pF3_means006	pF3_means007	pF3_means008	pF3_means009	pF3_means010	
VS-24_01.mat	"SH"	4260.000	4550.000	173.035	173.035	173.035	173.035	173.035	173.035	173.035	173.035	173.035	173.035	173.035	1116.816	912.285	1266.036	1257.514	1061.073	1279.751	1178.990	1171.535	1126.710	1038.559	890.044	2704.249	2553.730	2885.732	2883.552	2692.715	2755.608	2670.736	2735.453	2662.016	2763.446	2454.480	3223.488	2914.712	3258.826	3213.208	3392.242	3352.675	3471.522	3413.905	3206.660	3032.908	2993.201	
VS-24_01.mat	"AA1"	4550.000	4780.000	72.079	72.079	72.079	72.668	72.354	71.329	71.329	71.329	71.329	71.329	71.329	662.632	551.492	620.689	654.894	693.436	657.893	617.827	715.514	743.780	686.914	690.588	1158.195	1066.806	1165.320	1172.443	1172.124	1178.842	1140.168	1182.239	1186.216	1140.772	1178.612	3156.342	2446.261	2594.101	3239.703	3344.765	3347.127	3356.549	3336.897	3335.126	3412.583	3175.173	
VS-24_01.mat	"N"	4780.000	4910.000	77.123	77.123	74.942	76.093	77.927	77.455	77.147	77.147	77.147	77.147	77.147	349.564	609.612	444.191	280.873	289.673	293.956	336.457	288.964	308.048	320.845	306.671	1118.757	1168.708	1097.981	1167.960	1150.374	1173.609	1161.780	1041.442	1103.718	1073.854	1043.554	2782.034	2781.860	2601.549	2765.267	2795.105	2901.818	2838.377	2755.296	2798.749	2756.931	2819.347	
VS-24_01.mat	"V"	4910.000	4940.000	0	0	0	0	0	0	0	0	0	0	0	328.140	309.009	321.711	349.685	365.410	351.899	319.928	296.334	301.891	322.353	343.174	958.484	1030.413	996.620	960.416	950.361	951.677	958.412	961.171	933.030	917.873	918.615	2838.362	2799.622	2789.961	2789.917	2811.282	2834.611	2870.532	2943.559	2934.305	2835.610	2789.594	
VS-24_01.mat	"AH0"	4940.000	5020.000	183.562	183.562	183.562	183.562	183.562	183.562	189.306	190.410	184.723	181.181	177.220	317.991	348.453	356.076	352.744	344.600	279.226	302.903	304.733	299.491	239.291	344.274	883.170	899.900	899.417	882.600	888.980	877.914	768.198	746.833	772.894	768.444	1273.109	2853.412	2834.269	2859.269	2833.008	2786.389	2822.139	2892.410	2898.530	2942.775	2739.659	2908.275	
VS-24_01.mat	"K"	5100.000	5180.000	234.874	234.874	234.874	234.874	234.874	234.874	234.874	234.874	234.874	234.874	234.874	817.922	977.424	755.540	1026.030	994.987	922.753	871.373	901.264	788.084	586.122	277.130	1470.045	2163.364	2207.867	2253.196	1565.942	1145.555	1080.390	1066.086	1033.743	1193.608	943.303	2867.510	3430.574	3375.781	3425.791	2814.722	2504.337	2379.733	2549.092	2563.639	2829.284	2681.212	
VS-24_01.mat	"OW1"	5180.000	5740.000	124.570	185.705	168.801	160.445	158.483	159.839	158.260	114.386	46.918	40.974	51.694	354.593	417.199	409.309	373.420	350.261	340.892	324.181	337.642	341.736	322.269	331.286	747.981	841.374	814.194	760.107	720.841	742.099	675.331	638.767	996.543	660.151	625.881	2649.098	2524.806	2573.066	2567.369	2613.903	2607.233	2603.400	2737.799	2978.119	2770.272	2513.550	
VS-24_01.mat	"V"	5740.000	5770.000	154.778	81.310	162.126	162.573	163.261	164.499	165.914	166.688	167.391	168.140	169.169	334.467	326.922	329.429	328.037	327.950	331.007	334.927	338.299	341.038	342.333	344.462	824.704	747.904	776.966	794.579	802.474	818.275	841.507	859.643	868.498	869.990	873.262	2522.416	2525.553	2523.896	2516.590	2507.327	2508.631	2515.077	2524.300	2534.239	2535.318	2531.367	
VS-24_01.mat	"UH0"	5770.000	5880.000	172.041	171.341	173.595	174.162	173.440	172.675	172.852	173.859	173.592	171.159	164.354	368.822	351.122	357.342	357.828	358.229	362.948	369.947	378.282	381.857	372.139	397.099	1084.922	902.853	978.312	1026.215	1045.046	1075.987	1134.655	1191.061	1221.069	1174.940	1105.290	2449.852	2512.323	2492.311	2480.499	2499.253	2484.822	2470.488	2463.320	2409.117	2364.288	2323.153	
VS-24_01.mat	"R"	5880.000	5910.000	160.227	158.724	159.082	159.422	159.827	160.068	160.521	161.036	160.953	160.793	161.692	395.622	402.222	397.875	394.642	389.695	384.201	384.022	390.412	398.255	403.281	407.741	1114.201	1107.940	1113.268	1116.343	1115.150	1114.467	1116.985	1120.680	1119.717	1113.211	1107.035	2396.037	2341.390	2358.463	2375.847	2383.044	2376.175	2379.842	2407.985	2435.510	2451.130	2452.714	
VS-24_01.mat	"AH0"	5910.000	6050.000	69.908	91.678	79.245	77.648	77.169	76.878	72.547	46.319	42.757	42.872	42.872	467.026	434.396	476.292	494.505	495.589	491.119	492.087	477.719	429.830	464.792	416.998	1216.961	1124.541	1165.197	1200.388	1230.555	1240.277	1238.733	1228.389	1254.150	1239.025	1246.817	2568.956	2437.466	2481.457	2532.462	2577.757	2586.872	2623.403	2624.221	2616.755	2596.196	2622.886	
VS-24_01.mat	"V"	6050.000	6170.000	186.669	186.669	186.669	200.302	179.917	172.194	172.194	172.194	172.194	172.194	172.194	353.492	452.065	324.061	314.489	381.183	338.173	371.809	341.195	348.808	288.051	371.717	1000.636	1022.395	1056.454	1118.170	1083.900	935.376	762.116	792.993	807.377	1169.420	1305.116	2642.093	2591.606	2672.104	2556.747	2522.492	2579.524	2632.577	2589.621	2554.468	2804.602	2973.560	
VS-24_01.mat	"UH0"	6170.000	6240.000	119.102	142.477	142.559	140.364	137.851	134.252	129.497	129.497	129.497	63.302	63.148	319.568	335.851	322.256	329.135	333.069	324.777	328.044	320.716	281.644	307.971	312.015	908.736	787.258	784.698	781.011	769.287	763.128	809.966	894.247	944.310	923.795	1551.287	2652.313	2544.694	2521.888	2520.526	2563.159	2641.103	2628.763	2651.890	2642.936	2732.501	3039.249	
VS-24_01.mat	"R"	6240.000	6290.000	60.850	62.741	61.836	60.844	60.362	59.475	58.325	58.325	58.325	58.325	58.325	612.158	295.474	290.389	276.420	250.412	509.285	1048.090	1037.167	1099.339	823.841	569.700	1878.790	2248.647	2196.003	1139.748	1299.437	1710.510	2062.088	2249.060	2638.016	1953.211	1271.324	3071.366	3379.860	3405.781	2484.692	2606.141	3248.555	3348.521	2913.418	3636.383	3226.022	2480.228	
VS-24_01.mat	"AH0"	6290.000	6350.000	0	0	0	0	0	0	0	0	0	0	0	666.653	540.773	526.402	545.670	568.521	599.057	698.209	643.994	604.561	727.499	1208.695	1372.166	1220.777	1203.361	1220.159	1242.651	1238.907	1174.684	1211.980	1244.591	1678.407	2313.213	2873.313	2478.425	2595.010	2927.329	3081.936	3058.792	2939.944	2805.380	2835.961	3264.974	2929.113	
VS-24_01.mat	"upi"	1580.593	1800.643	212.140	230.168	199.842	185.425	185.425	185.425	185.425	185.425	236.817	216.478	210.920	482.165	298.359	242.000	414.929	626.767	810.443	562.278	794.876	338.110	400.141	336.324	1704.740	1053.454	951.518	2248.122	2081.218	2480.858	2083.258	1828.934	1209.492	1515.706	1648.718	2871.523	2541.511	2603.296	3220.929	3380.870	3337.402	3205.137	3163.951	2510.640	2400.551	2402.608	
VS-24_01.mat	"UH0"	1580.593	1611.609	224.438	237.322	238.122	237.753	234.313	227.551	223.588	219.752	216.192	212.104	206.399	283.346	293.822	310.313	316.235	313.166	303.285	290.479	278.032	265.673	249.809	232.990	1012.492	1252.083	1181.718	1082.070	1010.457	981.644	960.047	935.986	916.019	904.020	909.991	2540.800	2570.161	2535.288	2509.276	2523.205	2542.396	2554.708	2551.963	2529.791	2535.311	2550.191	
VS-24_01.mat	"P"	1611.609	1744.693	192.081	192.281	184.748	187.016	187.016	187.016	187.016	187.016	187.016	187.016	235.557	579.418	237.174	240.446	585.944	631.036	758.964	855.325	723.384	426.942	911.077	433.767	1951.743	979.702	2225.285	1989.442	2201.388	2446.099	2488.363	2183.047	2020.735	1830.477	1284.038	3147.036	2645.612	3321.568	3036.014	3485.911	3386.345	3347.524	3227.961	3247.619	3162.630	2693.271	
VS-24_01.mat	"IH0"	1744.693	1800.643	218.728	239.392	236.450	225.005	217.192	213.983	213.095	212.416	211.695	210.842	209.240	357.316	297.899	334.171	381.563	406.817	408.238	399.171	376.321	338.290	314.812	321.871	1488.028	1098.317	1182.462	1287.179	1442.026	1578.511	1673.339	1674.290	1610.718	1602.590	1694.203	2395.758	2382.387	2376.363	2368.825	2365.479	2394.771	2457.500	2454.309	2404.659	2364.032	2396.303	
